abh_number,b&f_number,scientific_name,vernacular_name,family
72.044,,Eilema griseola ab. stramineola,Dingy Footman [pale form],Erebidae
72.046,,Eilema complana f. sericea,Northern Footman,Erebidae
72.048,,Eilema pygmaeola pallifrons,Pigmy Footman,Erebidae
72.048,,Eilema pygmaeola pygmaeola,Pigmy Footman,Erebidae
73.023,,Plusia putnami gracilis,Lempke's Gold Spot,Noctuidae
73.042,,Acronicta menyanthidis menyanthidis,Light Knot Grass,Noctuidae
73.042,,Acronicta menyanthidis scotica,Light Knot Grass,Noctuidae
73.044,,Acronicta euphorbiae myricae,Sweet Gale Moth,Noctuidae
73.046,,Subacronicta megacephala ab. nigra,Poplar Grey (melanic),Noctuidae
73.054,,Cucullia gnaphalii occidentalis,Cudweed,Noctuidae
73.063,,Amphipyra berbera svenssoni,Svensson's Copper Underwing,Noctuidae
73.065,,Brachionycha sphinx,Sprawler,Noctuidae
73.068,,Allophyes oxyacanthae ab. capucina,Green-brindled Crescent [ab. capucina],Noctuidae
73.066,2228,Asteroscopus nubeculosa,Rannoch Sprawler,Noctuidae
73.073,,Heliothis maritima bulgarica,Shoulder-striped Clover,Noctuidae
73.073,,Heliothis maritima warneckei,Shoulder-striped Clover,Noctuidae
73.085,,Cryphia muralis impar,Marbled Green,Noctuidae
73.085,,Cryphia muralis muralis,Marbled Green,Noctuidae
73.085,,Cryphia muralis westroppi,Marbled Green,Noctuidae
73.116,,Calamia tridens occidentalis,Burren Green,Noctuidae
73.119,,Helotropha leucostigma leucostigma,Crescent,Noctuidae
73.119,,Helotropha leucostigma scotica,Crescent,Noctuidae
73.122,,Gortyna borelii lunata,Fisher's Estuarine Moth,Noctuidae
73.125,,Hydraecia osseola hucherardi,Marsh Mallow Moth,Noctuidae
73.126,,Amphipoea fucosa paludis,Saltern Ear,Noctuidae
73.132,,Luperina nickerlii demuthi,Sandhill Rustic,Noctuidae
73.132,,Luperina nickerlii gueneei,Sandhill Rustic,Noctuidae
73.132,,Luperina nickerlii knilli,Sandhill Rustic,Noctuidae
73.132,,Luperina nickerlii leechi,Sandhill Rustic,Noctuidae
73.146,,Photedes captiuncula expolita,Least Minor,Noctuidae
73.146,,Photedes captiuncula tincta,Least Minor,Noctuidae
73.148,,Chortodes morrisii bondii,Bond's Wainscot,Noctuidae
73.148,,Chortodes morrisii morrisii,Morris's Wainscot,Noctuidae
73.156,,Apamea crenata ab. combusta,Clouded-bordered Brindle [melanic form],Noctuidae
73.165,,Apamea furva britannica,Confused,Noctuidae
